"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","1","2","1.1","0.2","-"
"2",1,"Austin Ekeler",LAC,"RB2","2","5","2.5","0.9","-"
"3",1,"Jonathan Taylor",IND,"RB3","2","7","3.3","1.1","-"
"4",2,"Saquon Barkley",NYG,"RB4","3","12","5.6","2.6","-"
"5",2,"Justin Jefferson",MIN,"WR1","6","10","6.5","1.3","-"
"6",2,"Kenneth Walker III",SEA,"RB5","5","17","7.5","3.1","-"
"7",2,"Travis Kelce",KC,"TE1","9","9","9.0","0.0","-"
"8",2,"Ja'Marr Chase",CIN,"WR2","6","10","9.3","1.6","-"
"9",3,"Cooper Kupp",LAR,"WR3","11","20","13.1","2.7","-"
"10",3,"Nick Chubb",CLE,"RB6","5","25","14.3","7.3","-"
"11",3,"Tyreek Hill",MIA,"WR4","11","23","14.6","3.7","-"
"12",3,"Travis Etienne Jr.",JAC,"RB7","7","25","14.9","5.1","-"
"13",3,"Josh Jacobs",LV,"RB8","5","27","15.4","5.4","-"
"14",3,"Davante Adams",LV,"WR5","11","23","15.9","3.6","-"
"15",3,"CeeDee Lamb",DAL,"WR6","11","22","16.0","3.8","-"
"16",3,"Breece Hall",NYJ,"RB9","4","35","16.7","9.0","-"
"17",3,"Rhamondre Stevenson",NE,"RB10","7","26","17.1","4.9","-"
"18",3,"Derrick Henry",TEN,"RB11","5","32","17.5","10.4","-"
"19",3,"Stefon Diggs",BUF,"WR7","13","23","18.8","3.6","-"
"20",4,"A.J. Brown",PHI,"WR8","13","26","20.4","3.9","-"
"21",4,"Amon-Ra St. Brown",DET,"WR9","14","26","21.8","2.5","-"
"22",4,"Mark Andrews",BAL,"TE2","19","51","24.4","10.7","-"
"23",4,"Garrett Wilson",NYJ,"WR10","14","34","25.9","5.1","-"
"24",4,"Najee Harris",PIT,"RB12","18","35","25.9","5.6","-"
"25",4,"Jaylen Waddle",MIA,"WR11","17","33","27.3","3.0","-"
"26",4,"Tee Higgins",CIN,"WR12","22","42","27.8","4.8","-"
"27",4,"T.J. Hockenson",MIN,"TE3","19","30","28.0","4.2","-"
"28",5,"Tony Pollard",DAL,"RB13","18","38","28.4","5.2","-"
"29",5,"DeVonta Smith",PHI,"WR13","24","37","30.9","3.9","-"
"30",5,"D'Andre Swift",DET,"RB14","18","44","32.3","7.2","-"
"31",5,"Javonte Williams",DEN,"RB15","12","55","32.3","13.1","-"
"32",5,"Joe Mixon",CIN,"RB16","16","60","33.4","13.2","-"
"33",5,"DK Metcalf",SEA,"WR14","26","42","33.4","4.4","-"
"34",5,"Dalvin Cook",MIN,"RB17","18","48","35.4","8.3","-"
"35",5,"Aaron Jones",GB,"RB18","27","41","35.9","4.4","-"
"36",5,"Chris Olave",NO,"WR15","23","46","36.4","6.5","-"
"37",5,"Josh Allen",BUF,"QB1","36","45","37.1","2.4","-"
